date,equity,cash,total_value,drawdown,num_buys,num_avoids,regime,intended_trades,executed_trades
2024-01-01,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-02,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-03,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-04,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-05,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-08,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-09,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-10,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-11,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-12,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-15,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-16,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-17,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-18,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-19,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-22,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-23,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-24,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-25,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-26,3600.0,5000.0,8600.0,0.0,0,0,,,
2024-01-29,3600.0,5000.0,8600.0,0.0,0,0,NEUTRAL,0.0,0.0
2024-01-30,3600.0,5000.0,8600.0,0.0,0,0,NEUTRAL,0.0,0.0
2024-01-31,3600.0,5000.0,8600.0,0.0,0,0,NEUTRAL,0.0,0.0
